survey_round,chosen_center,triplet_object_1,triplet_object_2,triplet_object_3,response_time
1,32,32,16,30,11.108
1,18,15,18,53,19.483
1,16,51,16,26,6.8920
1,13,13,42,34,31.948
1,35,35,26,25,7.8050
1,12,36,12,5,13.922
1,26,21,26,42,10.228
1,57,46,57,13,21.873
1,28,42,30,28,10.778
1,8,8,17,11,11.546
1,15,39,15,52,8.2400
1,8,11,27,8,11.791
1,16,19,3,16,3.7780
1,11,15,11,37,11.561
1,7,22,55,7,8.3000
1,59,49,58,59,4.2170
1,5,5,24,36,15.390
1,5,5,40,34,18.232
1,5,5,53,19,6.0130
1,35,35,53,8,12.241
1,55,46,55,41,5.6690
1,52,13,52,56,25.938
1,7,7,46,42,2.9360
1,33,33,52,23,3.7140
1,7,25,14,7,25.291
1,10,53,10,59,3.0360
1,22,53,22,45,17.510
1,55,52,33,55,4.2410
1,24,27,24,20,12.125
1,52,48,45,52,7.5060
1,33,19,41,33,23.686
1,1,30,49,1,15.657
1,31,31,8,23,3.4190
1,6,21,6,19,2.5440
1,8,8,17,52,19.831
1,2,7,59,2,4.7180
1,43,1,43,55,9.7960
1,47,47,54,49,8.9020
1,60,41,49,60,13.372
1,59,59,49,41,3.8110
1,14,45,14,21,3.0280
1,6,6,23,48,7.0500
1,19,45,48,19,3.2480
1,12,12,43,19,3.5910
1,1,23,1,27,4.0140
1,15,15,49,26,6.6860
1,38,38,43,60,3.8750
2,8,46,8,51,7.9530
2,55,60,55,47,6.0260
2,43,43,33,24,10.462
2,7,57,30,7,9.1950
2,45,47,41,45,4.0980
2,59,35,47,59,5.4620
2,33,33,18,48,11.935
2,16,47,16,4,2.9280
2,41,41,56,30,5.3610
2,18,53,18,15,2.8980
2,4,15,4,23,2.2790
2,6,22,6,28,3.0910
2,55,6,1,55,8.1490
2,56,48,1,56,3.9820
2,1,24,8,1,5.0570
2,16,22,16,41,8.0410
2,26,23,6,26,4.0270
2,57,57,45,3,4.6230
2,22,22,28,18,18.168
2,2,2,20,21,5.8620
2,17,17,23,19,2.2350
2,43,13,59,43,3.0610
2,10,1,10,40,8.6370
2,57,24,57,20,6.6010
2,36,36,38,22,2.1810
2,39,39,36,33,3.0750
2,6,6,21,40,3.0480
2,2,4,2,32,4.4000
2,17,21,7,17,2.8510
2,17,8,17,31,5.8960
2,7,55,7,48,3.3600
2,1,6,1,46,5.7930
2,7,7,34,60,3.8520
